id;orden;carro;lado;fecha_hora;usuario;sector;estado
50;64847-3;33;B;2026-04-07 14:54:24.748387;Leandra;Canteado;
49;64847-;33;B;2026-04-07 14:53:57.879760;Leandra;Canteado;
48;65413-1;33;A;2026-04-07 14:53:09.248055;Leandra;Canteado;
47;65464-1;33;A;2026-04-07 14:52:45.025840;Leandra;Canteado;
46;65430-1;33;A;2026-04-07 14:50:40.630095;Leandra;Canteado;
45;65435-1;33;A;2026-04-07 14:50:03.677827;Leandra;Perforación;
44;64847-6;37;B;2026-04-07 14:49:25.938179;Leandra;Perforación;
43;64847-3;37;B;2026-04-07 14:47:53.499786;Leandra;Perforación;
42;64847-6;37;A;2026-04-07 14:47:14.554517;Leandra;Perforación;
41;64847-4;30;A;2026-04-07 14:46:22.103400;Leandra;Perforación;
40;64847-4;30;B;2026-04-07 14:45:54.812694;Leandra;Perforación;
39;64847-5;30;B;2026-04-07 14:45:29.426138;Leandra;Perforación;
38;64847-3;36;A;2026-04-07 14:44:39.676958;Leandra;Perforación;
37;64847-6;36;A;2026-04-07 14:44:19.973689;Leandra;Perforación;
36;64725-1;35;B;2026-04-07 14:43:44.676753;Leandra;Perforación;
35;64224-1;35;B;2026-04-07 14:43:23.645575;Leandra;Perforación;
34;65524-1;35;B;2026-04-07 14:42:55.707890;Leandra;Perforación;
33;65046-1;35;B;2026-04-07 14:42:27.397728;Leandra;Perforación;
32;64847-4;35;A;2026-04-07 14:41:13.164091;Leandra;Perforación;
31;65195-2;35;A;2026-04-07 14:40:21.438946;Leandra;Perforación;
30;64847-1;30;B;2026-04-07 14:39:10.257512;Leandra;Perforación;
29;64847-;30;A;2026-04-07 14:38:40.509930;Leandra;Perforación;
28;64853-1;31;B;2026-04-07 14:34:38.319672;Leandra;Perforación;
27;64853-;31;A;2026-04-07 14:29:42.235187;Leandra;Corte;
23;64852-1. 3;32;A;2026-04-07 13:38:08.671424;Daniel;Perforación;
22;64852-1. 2;32;A;2026-04-07 13:30:10.324484;Leandra;Perforación;
18;65853-1;32;B;2026-04-07 12:19:23.148084;Leandra;Perforación;
16;65464-1;33;A;2026-04-07 12:16:14.170572;Leandra;Perforación;
15;65413-1;33;A;2026-04-07 12:15:34.181031;Leandra;Perforación;
14;65430-1;33;A;2026-04-07 12:12:57.745961;Leandra;Perforación;
13;65435-1;33;A;2026-04-07 12:12:11.109472;Leandra;Corte;
12;64852-1;56;Cambio de Sector;2026-04-07 11:51:37.948375;Leandra;Canteado;
7;663833;152;B;2026-04-07 10:27:19.410460;Leandra;Corte;
6;1;0;-;2026-04-07 10:25:41.587167;Leandra;Terminado;
5;8552558;55;B;2026-04-07 08:41:41.090268;Gerardo;Corte;
4;885421;68;B;2026-04-07 08:12:59.697085;Leandra;Corte Laminado;
3;88214;45;A;2026-04-07 07:48:34.622924;Pablo;Corte;
2;8542258;85;A;2026-04-06 21:43:08.719062;Yo;Laminado;
